station_id,station_name,nb_available_bikes
42029,Stalingrad - Germaine Tailleferre,0
14007,Ferrus - Saint-Jacques,0
9015,Lamartine - Faubourg Montmartre,0
19021,Mairie du 19ème,15
14127,Odessa - Départ,21
32019,Place du 8 mai 1945,30
17104,Jardin Marguerite Long,17
35008,Place de l'Eglise,21
19030,Melun - Jean Jaurès,16
15009,Suffren - Pérignon,26
21004,Jean Jaurès - Reine,29
22002,Argenson - Château,0
11044,Square du Bataclan,18
13022,Butte aux Cailles - Esperance,26
20045,Louis Ganne - Davout,13
11110,Roquette - Folie Regnault,38
16031,Vignes - Boulainvilliers,0
12127,Tremblay - Lac des Minimes,36
12153,Terroirs de France - Lheureux,30
21017,Place Marcel Sembat,0
5028,Censier - Jardin des Plantes,18
17005,Brochant - Clichy,46
92004,Université,0
18035,René Binet - Porte de Montmartre,12
22401,Charles de Gaulle - Plateau de Vanves,32
14016,René Coty - Parc Montsouris,50
12033,François Truffaut - Saint Emilion,25
12120,Lac Daumesnil - Saint-Maurice,40
11012,Montreuil - Voltaire,1
18142,Jessaint - Marx Dormoy,17
18014,Léon - Doudeauville,8
14003,Schoelcher - Raspail,23
13110,Moulin de la Pointe,17
42011,Quai Marcel Boyer - Victor Hugo,18
23005,Gare de Clichy-Levallois,6
12010,Daumesnil - Picpus,16
48009,République - Auguste Perret,25
15122,Place Charles Vallin,19
21009,Le Corbusier - Jean Jaurès,25
4107,Beaumarchais - Pas de la Mule,4
21951,Place Centrale,19
9013,Mairie du 9ème,10
31017,Jean Moulin - Paul Doumer,15
13047,Boutroux - Porte de Vitry,28
23006,Jules Guesde - Alsace,20
18114,Véron - Lepic,23
20004,Commandant l'Herminier - Gallieni,11
44103,Pont De Charenton,7
22403,Pierre Brossolette - Adolphe Pinard,20
